SampleID	# of Substitutions By Pilon	# Bases Inserted By Pilon (Erroneous Deletions)	# Bases Deleted By Pilon (Erroneous Insertion)
N0072	0	4	7
N0153	19	2	32
N0155	15	5	16
M0003941_3	0	449	4
DNA075	3	5	46
DNA091	0	4	44
DNA028	3	5	42
N0145	0	2	18
N0054	0	0	8
N1274	2	1	14
N0004	1	1	18
DNA020	2	5	37
AZE_02_042	1	2	64
DNA019_Rose	0	3	37
DNA188	0	1	37
DNA120	0	1	50
DNA044	0	0	53
M0011368_9	0	59	4
02_R1179	0	307	2
M0014888_3	0	39	0
M0016395_7	1	66	4
M0010874_7	9	95	7
01_R1430	0	90	3
02_R0894	0	189	1
02_R1708	0	731	4
02_R1896	0	499	2
M0016737_0	0	88	4
M0017522_5	0	499	4
01_R1134	2	1031	1
DNA086	2	4	35
N1272	1	1	39
N1176	0	5	8
N1177	9	2	23
N1202	1	3	15
N0091	1	2	54
RW-TB008	0	42	2
