	study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
0	PRJNA480888	SAMN09651722	SRX4386384	SRR7516404	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7516404/SRR7516404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7516404/SRR7516404_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR751/004/SRR7516404
0	PRJNA436997	SAMN08637037	SRX5234285	SRR6807705	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/005/SRR6807705/SRR6807705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/005/SRR6807705/SRR6807705_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR680/005/SRR6807705
0	PRJNA436997	SAMN08637053	SRX5234301	SRR6807763	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/003/SRR6807763/SRR6807763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/003/SRR6807763/SRR6807763_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR680/003/SRR6807763
0	PRJNA421446	SAMN08815977	SRX3864173	SRR6916544	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/004/SRR6916544/SRR6916544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR691/004/SRR6916544/SRR6916544_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR691/004/SRR6916544
0	PRJNA436997	SAMN08636996	SRX5234244	SRR6807749	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/009/SRR6807749/SRR6807749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/009/SRR6807749/SRR6807749_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR680/009/SRR6807749
0	PRJNA436997	SAMN08637007	SRX5234255	SRR6807694	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/004/SRR6807694/SRR6807694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/004/SRR6807694/SRR6807694_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR680/004/SRR6807694
0	PRJNA436997	SAMN08636983	SRX5234231	SRR6807727	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/007/SRR6807727/SRR6807727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/007/SRR6807727/SRR6807727_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR680/007/SRR6807727
0	PRJNA480888	SAMN09651748	SRX4386412	SRR7516376	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7516376/SRR7516376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7516376/SRR7516376_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR751/006/SRR7516376
0	PRJNA421446	SAMN08143491	SRX3453345	SRR6356981	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/001/SRR6356981/SRR6356981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR635/001/SRR6356981/SRR6356981_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR635/001/SRR6356981
0	PRJNA436997	SAMN08636982	SRX5234230	SRR6807728	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/008/SRR6807728/SRR6807728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR680/008/SRR6807728/SRR6807728_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR680/008/SRR6807728
