Run,Alias,Assay Type,AvgSpotLen,BindingKit,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_checklist,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,InstCtrlVer,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sample_name,SequencingKit,SRA_accession,title,collected_by,collection_date,Country,pmid,serovar,specific_host,strain,SUBJECT_ID
ERR956955,N0157-sc-2282841,WGS,9283,100356300,PRJEB8783,SAMEA3358978,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-07,2018-11-16,ERX1034278,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767749,SINGLE,RANDOM,GENOMIC,1447,5140,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-08T00:00:00Z,ERS712532,SAMEA3358978,ERS712532,100356200,ERS712532,Mycobacterium tuberculosis,,,,,,,,
ERR956956,N0072-sc-2282842,WGS,11909,100356300,PRJEB8783,SAMEA3358979,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-07,2018-11-16,ERX1034279,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767752,SINGLE,RANDOM,GENOMIC,1856,6496,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-08T00:00:00Z,ERS712533,SAMEA3358979,ERS712533,100356200,ERS712533,Mycobacterium tuberculosis,,,,,,,,
ERR956957,N0153-sc-2282843,WGS,14575,100356300,PRJEB8783,SAMEA3358980,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-07,2018-11-16,ERX1034280,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:43Z,public,2.3.0.0.140640,PacBio RS,13767754,SINGLE,RANDOM,GENOMIC,2272,7901,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-08T00:00:00Z,ERS712534,SAMEA3358980,ERS712534,100356200,ERS712534,Mycobacterium tuberculosis,,,,,,,,
ERR956958,N0145-sc-2282844,WGS,8339,100356300,PRJEB8783,SAMEA3358981,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-07,2018-11-16,ERX1034281,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767756,SINGLE,RANDOM,GENOMIC,1300,4632,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-08T00:00:00Z,ERS712535,SAMEA3358981,ERS712535,100356200,ERS712535,Mycobacterium tuberculosis,,,,,,,,
ERR956959,N0052-sc-2282845,WGS,12811,100356300,PRJEB8783,SAMEA3358982,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-07,2018-11-16,ERX1034282,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767758,SINGLE,RANDOM,GENOMIC,1997,7016,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-08T00:00:00Z,ERS712536,SAMEA3358982,ERS712536,100356200,ERS712536,Mycobacterium tuberculosis,,,,,,,,
ERR956960,N0031-sc-2282846,WGS,17378,100356300,PRJEB8783,SAMEA3358983,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-07,2018-11-16,ERX1034283,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:43Z,public,2.3.0.0.140640,PacBio RS,13767760,SINGLE,RANDOM,GENOMIC,2709,9490,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-08T00:00:00Z,ERS712537,SAMEA3358983,ERS712537,100356200,ERS712537,Mycobacterium tuberculosis,,,,,,,,
ERR1025289,N1176-sc-2308781,WGS,2085,100372700,PRJEB8783,SAMEA3443999,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-09-22,2018-11-16,ERX1104161,SC,Wellcome Sanger Institute,2015-09-22T09:40:07Z,2018-03-09T13:25:27Z,public,2.3.0.0.140640,PacBio RS,14198957,SINGLE,RANDOM,GENOMIC,325,1240,Mycobacterium tuberculosis,PACBIO_SMRT,2015-09-23T00:00:00Z,ERS743205,SAMEA3443999,ERS743205,100356200,ERS743205,Mycobacterium tuberculosis,,,,,,,,
ERR964401,N0157-sc-2282841,WGS,11150,100356300,PRJEB8783,SAMEA3358978,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041365,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767749,SINGLE,RANDOM,GENOMIC,1738,6092,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712532,SAMEA3358978,ERS712532,100356200,ERS712532,Mycobacterium tuberculosis,,,,,,,,
ERR964402,N0072-sc-2282842,WGS,10953,100356300,PRJEB8783,SAMEA3358979,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041366,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767752,SINGLE,RANDOM,GENOMIC,1707,5992,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712533,SAMEA3358979,ERS712533,100356200,ERS712533,Mycobacterium tuberculosis,,,,,,,,
ERR964403,N0153-sc-2282843,WGS,21070,100356300,PRJEB8783,SAMEA3358980,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041367,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:43Z,public,2.3.0.0.140640,PacBio RS,13767754,SINGLE,RANDOM,GENOMIC,3285,11288,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712534,SAMEA3358980,ERS712534,100356200,ERS712534,Mycobacterium tuberculosis,,,,,,,,
ERR964404,N0145-sc-2282844,WGS,13927,100356300,PRJEB8783,SAMEA3358981,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041368,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767756,SINGLE,RANDOM,GENOMIC,2171,7523,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712535,SAMEA3358981,ERS712535,100356200,ERS712535,Mycobacterium tuberculosis,,,,,,,,
ERR964405,N0052-sc-2282845,WGS,13579,100356300,PRJEB8783,SAMEA3358982,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041369,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767758,SINGLE,RANDOM,GENOMIC,2117,7352,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712536,SAMEA3358982,ERS712536,100356200,ERS712536,Mycobacterium tuberculosis,,,,,,,,
ERR964406,N0031-sc-2282846,WGS,18137,100356300,PRJEB8783,SAMEA3358983,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041370,SC,Wellcome Sanger Institute,2015-07-07T09:10:35Z,2018-03-09T13:23:43Z,public,2.3.0.0.140640,PacBio RS,13767760,SINGLE,RANDOM,GENOMIC,2827,9770,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712537,SAMEA3358983,ERS712537,100356200,ERS712537,Mycobacterium tuberculosis,,,,,,,,
