GC%_100bpWindowSize	FrequencyAcrossAssembly	SampleID	SequencingTechnology	RelativeDepth
35.0	29	M0011368_9	Illumina_DP_PBN	1.3150439771159737
36.0	76	M0011368_9	Illumina_DP_PBN	1.3519913551718454
37.0	95	M0011368_9	Illumina_DP_PBN	1.3103620619050673
38.0	126	M0011368_9	Illumina_DP_PBN	1.2815621137183069
39.0	181	M0011368_9	Illumina_DP_PBN	1.2809933297236598
40.0	323	M0011368_9	Illumina_DP_PBN	1.2428510270326076
41.0	504	M0011368_9	Illumina_DP_PBN	1.230908057301933
42.0	755	M0011368_9	Illumina_DP_PBN	1.25495756551329
43.0	982	M0011368_9	Illumina_DP_PBN	1.2429529988709453
44.0	1391	M0011368_9	Illumina_DP_PBN	1.2400211488979438
45.0	1874	M0011368_9	Illumina_DP_PBN	1.2372584119130823
46.0	2483	M0011368_9	Illumina_DP_PBN	1.2371747748844704
47.0	3441	M0011368_9	Illumina_DP_PBN	1.2348633327245997
48.0	4839	M0011368_9	Illumina_DP_PBN	1.2214480802603565
49.0	6760	M0011368_9	Illumina_DP_PBN	1.2154089978028415
50.0	9571	M0011368_9	Illumina_DP_PBN	1.2045821759325814
51.0	13432	M0011368_9	Illumina_DP_PBN	1.1926314757704906
52.0	18763	M0011368_9	Illumina_DP_PBN	1.1799789631571767
53.0	26151	M0011368_9	Illumina_DP_PBN	1.167690637047104
54.0	36159	M0011368_9	Illumina_DP_PBN	1.1596429198924703
55.0	49658	M0011368_9	Illumina_DP_PBN	1.1413586381503482
56.0	66805	M0011368_9	Illumina_DP_PBN	1.1304801440048102
57.0	87260	M0011368_9	Illumina_DP_PBN	1.1165474810787392
58.0	114141	M0011368_9	Illumina_DP_PBN	1.1021205388020139
59.0	147585	M0011368_9	Illumina_DP_PBN	1.0915919256899276
60.0	183767	M0011368_9	Illumina_DP_PBN	1.079897078127152
61.0	220395	M0011368_9	Illumina_DP_PBN	1.0678017936563546
62.0	254026	M0011368_9	Illumina_DP_PBN	1.0574677629430698
63.0	286232	M0011368_9	Illumina_DP_PBN	1.0460271298756387
64.0	307848	M0011368_9	Illumina_DP_PBN	1.0355431475990777
65.0	318777	M0011368_9	Illumina_DP_PBN	1.0246416297551433
66.0	322038	M0011368_9	Illumina_DP_PBN	1.0120028099704323
67.0	311309	M0011368_9	Illumina_DP_PBN	1.0004236247210037
68.0	291831	M0011368_9	Illumina_DP_PBN	0.9885710923030724
69.0	263478	M0011368_9	Illumina_DP_PBN	0.9760605287642979
70.0	229014	M0011368_9	Illumina_DP_PBN	0.9630617075369423
71.0	191290	M0011368_9	Illumina_DP_PBN	0.9477317301672372
72.0	151755	M0011368_9	Illumina_DP_PBN	0.9317743976717633
73.0	119288	M0011368_9	Illumina_DP_PBN	0.9113244340358746
74.0	91112	M0011368_9	Illumina_DP_PBN	0.8835857351819787
75.0	67899	M0011368_9	Illumina_DP_PBN	0.8453318513375966
76.0	49977	M0011368_9	Illumina_DP_PBN	0.791856242696868
77.0	36688	M0011368_9	Illumina_DP_PBN	0.7274278391774428
78.0	27098	M0011368_9	Illumina_DP_PBN	0.6392730002886221
79.0	19935	M0011368_9	Illumina_DP_PBN	0.5305407856508939
80.0	15330	M0011368_9	Illumina_DP_PBN	0.42974473619210257
81.0	12422	M0011368_9	Illumina_DP_PBN	0.31683128457477727
82.0	9685	M0011368_9	Illumina_DP_PBN	0.23357106826192234
83.0	7687	M0011368_9	Illumina_DP_PBN	0.17377283674190827
84.0	5392	M0011368_9	Illumina_DP_PBN	0.12213246909158967
85.0	3922	M0011368_9	Illumina_DP_PBN	0.09073366804056131
86.0	2812	M0011368_9	Illumina_DP_PBN	0.06710018933416624
87.0	1746	M0011368_9	Illumina_DP_PBN	0.05759507543903815
88.0	938	M0011368_9	Illumina_DP_PBN	0.054953125131759775
89.0	466	M0011368_9	Illumina_DP_PBN	0.041780472608454064
90.0	190	M0011368_9	Illumina_DP_PBN	0.03215062341526606
91.0	61	M0011368_9	Illumina_DP_PBN	0.012767016547894833
35.0	29	M0014888_3	Illumina_DP_PBN	1.1589343167653896
36.0	76	M0014888_3	Illumina_DP_PBN	1.203871830605306
37.0	95	M0014888_3	Illumina_DP_PBN	1.2104481650199843
38.0	126	M0014888_3	Illumina_DP_PBN	1.1799854847599627
39.0	173	M0014888_3	Illumina_DP_PBN	1.1484613451070917
40.0	311	M0014888_3	Illumina_DP_PBN	1.1396318449783658
41.0	493	M0014888_3	Illumina_DP_PBN	1.1373652901613032
42.0	751	M0014888_3	Illumina_DP_PBN	1.1428853939534134
43.0	958	M0014888_3	Illumina_DP_PBN	1.1404760901313158
44.0	1373	M0014888_3	Illumina_DP_PBN	1.1463517535660084
45.0	1847	M0014888_3	Illumina_DP_PBN	1.141083361666393
46.0	2422	M0014888_3	Illumina_DP_PBN	1.144113066896137
47.0	3381	M0014888_3	Illumina_DP_PBN	1.1323397198286058
48.0	4755	M0014888_3	Illumina_DP_PBN	1.1274785875168645
49.0	6668	M0014888_3	Illumina_DP_PBN	1.1214333650362922
50.0	9566	M0014888_3	Illumina_DP_PBN	1.1134622795702311
51.0	13523	M0014888_3	Illumina_DP_PBN	1.1077606245947242
52.0	18838	M0014888_3	Illumina_DP_PBN	1.1043529259797256
53.0	26213	M0014888_3	Illumina_DP_PBN	1.0971918496455408
54.0	36117	M0014888_3	Illumina_DP_PBN	1.0934374767172996
55.0	49631	M0014888_3	Illumina_DP_PBN	1.0865624907857228
56.0	66876	M0014888_3	Illumina_DP_PBN	1.082260074370136
57.0	87368	M0014888_3	Illumina_DP_PBN	1.075844276012695
58.0	114146	M0014888_3	Illumina_DP_PBN	1.0679334229032686
59.0	147246	M0014888_3	Illumina_DP_PBN	1.0614329295368812
60.0	183940	M0014888_3	Illumina_DP_PBN	1.0557316175379179
61.0	220141	M0014888_3	Illumina_DP_PBN	1.0492411939355506
62.0	253705	M0014888_3	Illumina_DP_PBN	1.0411062200909789
63.0	285738	M0014888_3	Illumina_DP_PBN	1.034958695710628
64.0	307502	M0014888_3	Illumina_DP_PBN	1.0291366650247848
65.0	318469	M0014888_3	Illumina_DP_PBN	1.0230574702734936
66.0	321390	M0014888_3	Illumina_DP_PBN	1.0160181206839725
67.0	311042	M0014888_3	Illumina_DP_PBN	1.0096941344226746
68.0	291693	M0014888_3	Illumina_DP_PBN	1.0025583926714758
69.0	263329	M0014888_3	Illumina_DP_PBN	0.9944146946339651
70.0	228866	M0014888_3	Illumina_DP_PBN	0.9840937540917967
71.0	191112	M0014888_3	Illumina_DP_PBN	0.9717259837445239
72.0	151884	M0014888_3	Illumina_DP_PBN	0.9616180252613092
73.0	119335	M0014888_3	Illumina_DP_PBN	0.9451422753991184
74.0	91338	M0014888_3	Illumina_DP_PBN	0.9180186529837701
75.0	68272	M0014888_3	Illumina_DP_PBN	0.886149733319732
76.0	50562	M0014888_3	Illumina_DP_PBN	0.8379599500695719
77.0	36991	M0014888_3	Illumina_DP_PBN	0.7781406564122441
78.0	27347	M0014888_3	Illumina_DP_PBN	0.7000644941189805
79.0	20388	M0014888_3	Illumina_DP_PBN	0.6006262596310419
80.0	15660	M0014888_3	Illumina_DP_PBN	0.5063987043150094
81.0	12656	M0014888_3	Illumina_DP_PBN	0.3991760673177221
82.0	9788	M0014888_3	Illumina_DP_PBN	0.33024000353800065
83.0	8158	M0014888_3	Illumina_DP_PBN	0.2736709761085262
84.0	5915	M0014888_3	Illumina_DP_PBN	0.21684545775805308
85.0	4545	M0014888_3	Illumina_DP_PBN	0.17246913532416194
86.0	3239	M0014888_3	Illumina_DP_PBN	0.1330625102282683
87.0	1971	M0014888_3	Illumina_DP_PBN	0.11489263894028531
88.0	1112	M0014888_3	Illumina_DP_PBN	0.10975121011311076
89.0	540	M0014888_3	Illumina_DP_PBN	0.08778635973576572
90.0	270	M0014888_3	Illumina_DP_PBN	0.07569743660916188
91.0	84	M0014888_3	Illumina_DP_PBN	0.07331270763301537
35.0	29	M0016395_7	Illumina_DP_PBN	1.2556331666474363
36.0	76	M0016395_7	Illumina_DP_PBN	1.136482604490791
37.0	95	M0016395_7	Illumina_DP_PBN	1.1989559172522737
38.0	126	M0016395_7	Illumina_DP_PBN	1.2152000143256507
39.0	177	M0016395_7	Illumina_DP_PBN	1.19673440723986
40.0	315	M0016395_7	Illumina_DP_PBN	1.2001489540192634
41.0	515	M0016395_7	Illumina_DP_PBN	1.2126939220303419
42.0	759	M0016395_7	Illumina_DP_PBN	1.2087331388415812
43.0	975	M0016395_7	Illumina_DP_PBN	1.2257646308037013
44.0	1401	M0016395_7	Illumina_DP_PBN	1.204975225857484
45.0	1894	M0016395_7	Illumina_DP_PBN	1.2057118787993135
46.0	2491	M0016395_7	Illumina_DP_PBN	1.1941203546717054
47.0	3435	M0016395_7	Illumina_DP_PBN	1.1791627372358586
48.0	4838	M0016395_7	Illumina_DP_PBN	1.1657535057501762
49.0	6810	M0016395_7	Illumina_DP_PBN	1.1672635006150334
50.0	9627	M0016395_7	Illumina_DP_PBN	1.1557727103828326
51.0	13496	M0016395_7	Illumina_DP_PBN	1.1445394348196645
52.0	18777	M0016395_7	Illumina_DP_PBN	1.1356138531863982
53.0	26346	M0016395_7	Illumina_DP_PBN	1.1253506911190188
54.0	36368	M0016395_7	Illumina_DP_PBN	1.119989170077932
55.0	49909	M0016395_7	Illumina_DP_PBN	1.112678069289908
56.0	67207	M0016395_7	Illumina_DP_PBN	1.1042676828414382
57.0	87783	M0016395_7	Illumina_DP_PBN	1.096000206896586
58.0	114687	M0016395_7	Illumina_DP_PBN	1.0886053517581757
59.0	148247	M0016395_7	Illumina_DP_PBN	1.080232556046302
60.0	184915	M0016395_7	Illumina_DP_PBN	1.0701384396298181
61.0	221703	M0016395_7	Illumina_DP_PBN	1.0617106798209002
62.0	255938	M0016395_7	Illumina_DP_PBN	1.0523202672700773
63.0	287880	M0016395_7	Illumina_DP_PBN	1.044148766222954
64.0	309476	M0016395_7	Illumina_DP_PBN	1.0353807229205847
65.0	320711	M0016395_7	Illumina_DP_PBN	1.02603420673512
66.0	323830	M0016395_7	Illumina_DP_PBN	1.016714868409643
67.0	313095	M0016395_7	Illumina_DP_PBN	1.0075912264533613
68.0	292953	M0016395_7	Illumina_DP_PBN	0.9984564803793244
69.0	264640	M0016395_7	Illumina_DP_PBN	0.9891925961131286
70.0	229853	M0016395_7	Illumina_DP_PBN	0.9756164146508611
71.0	191975	M0016395_7	Illumina_DP_PBN	0.9588810230587309
72.0	152352	M0016395_7	Illumina_DP_PBN	0.9453439400416243
73.0	119439	M0016395_7	Illumina_DP_PBN	0.9253233536220248
74.0	91291	M0016395_7	Illumina_DP_PBN	0.8935426823277118
75.0	67972	M0016395_7	Illumina_DP_PBN	0.8546127172997049
76.0	50138	M0016395_7	Illumina_DP_PBN	0.7972908822175698
77.0	36815	M0016395_7	Illumina_DP_PBN	0.7282979196605676
78.0	27194	M0016395_7	Illumina_DP_PBN	0.6379848410016701
79.0	20201	M0016395_7	Illumina_DP_PBN	0.5251655838494431
80.0	15463	M0016395_7	Illumina_DP_PBN	0.41510159701847105
81.0	12589	M0016395_7	Illumina_DP_PBN	0.28939882441606307
82.0	9800	M0016395_7	Illumina_DP_PBN	0.20086761910210713
83.0	7953	M0016395_7	Illumina_DP_PBN	0.14830407522451836
84.0	5627	M0016395_7	Illumina_DP_PBN	0.10632574255232763
85.0	4202	M0016395_7	Illumina_DP_PBN	0.07786582433857202
86.0	3065	M0016395_7	Illumina_DP_PBN	0.05616587782208409
87.0	1771	M0016395_7	Illumina_DP_PBN	0.05422841326403544
88.0	995	M0016395_7	Illumina_DP_PBN	0.04764908539208139
89.0	432	M0016395_7	Illumina_DP_PBN	0.04480241468320893
90.0	203	M0016395_7	Illumina_DP_PBN	0.048406683059367905
91.0	85	M0016395_7	Illumina_DP_PBN	0.026740767164489188
35.0	29	M0010874_7	Illumina_DP_PBN	1.2006857275595968
36.0	76	M0010874_7	Illumina_DP_PBN	1.1608385771252034
37.0	95	M0010874_7	Illumina_DP_PBN	1.160135748521496
38.0	126	M0010874_7	Illumina_DP_PBN	1.1401023443134073
39.0	177	M0010874_7	Illumina_DP_PBN	1.1549353462917964
40.0	312	M0010874_7	Illumina_DP_PBN	1.126436768921245
41.0	506	M0010874_7	Illumina_DP_PBN	1.1448987670104631
42.0	762	M0010874_7	Illumina_DP_PBN	1.1638961582555114
43.0	953	M0010874_7	Illumina_DP_PBN	1.1705660789960477
44.0	1374	M0010874_7	Illumina_DP_PBN	1.1771509527964283
45.0	1869	M0010874_7	Illumina_DP_PBN	1.1777587339062978
46.0	2450	M0010874_7	Illumina_DP_PBN	1.1736532462754743
47.0	3401	M0010874_7	Illumina_DP_PBN	1.1686815946442384
48.0	4788	M0010874_7	Illumina_DP_PBN	1.1648640372496186
49.0	6642	M0010874_7	Illumina_DP_PBN	1.1594924236743982
50.0	9433	M0010874_7	Illumina_DP_PBN	1.1572088234084033
51.0	13401	M0010874_7	Illumina_DP_PBN	1.1420244115061606
52.0	18678	M0010874_7	Illumina_DP_PBN	1.1377522178295718
53.0	26291	M0010874_7	Illumina_DP_PBN	1.1325628760714022
54.0	36232	M0010874_7	Illumina_DP_PBN	1.1274543154390986
55.0	49739	M0010874_7	Illumina_DP_PBN	1.117592624134757
56.0	66940	M0010874_7	Illumina_DP_PBN	1.1093096071586002
57.0	87492	M0010874_7	Illumina_DP_PBN	1.101234982315927
58.0	114359	M0010874_7	Illumina_DP_PBN	1.0934085143576215
59.0	147690	M0010874_7	Illumina_DP_PBN	1.0858158114318421
60.0	183714	M0010874_7	Illumina_DP_PBN	1.0783529704981267
61.0	220163	M0010874_7	Illumina_DP_PBN	1.070106609891465
62.0	254073	M0010874_7	Illumina_DP_PBN	1.0612766733786323
63.0	286225	M0010874_7	Illumina_DP_PBN	1.0520689660626044
64.0	308025	M0010874_7	Illumina_DP_PBN	1.0426507019813076
65.0	319078	M0010874_7	Illumina_DP_PBN	1.033158979921823
66.0	322246	M0010874_7	Illumina_DP_PBN	1.0235576312481498
67.0	311442	M0010874_7	Illumina_DP_PBN	1.0133262625890471
68.0	291518	M0010874_7	Illumina_DP_PBN	1.0034324251287157
69.0	263041	M0010874_7	Illumina_DP_PBN	0.9916682987518006
70.0	228685	M0010874_7	Illumina_DP_PBN	0.9761163025886773
71.0	190900	M0010874_7	Illumina_DP_PBN	0.9582211565761037
72.0	151324	M0010874_7	Illumina_DP_PBN	0.9381556914044175
73.0	118847	M0010874_7	Illumina_DP_PBN	0.9112816329472184
74.0	90816	M0010874_7	Illumina_DP_PBN	0.8709394295545241
75.0	67499	M0010874_7	Illumina_DP_PBN	0.8211589101925112
76.0	49770	M0010874_7	Illumina_DP_PBN	0.7471576432541615
77.0	36437	M0010874_7	Illumina_DP_PBN	0.655684978761207
78.0	26901	M0010874_7	Illumina_DP_PBN	0.542869889009805
79.0	19871	M0010874_7	Illumina_DP_PBN	0.4206486315040958
80.0	15356	M0010874_7	Illumina_DP_PBN	0.3026528213325928
81.0	12629	M0010874_7	Illumina_DP_PBN	0.2016314107326866
82.0	9730	M0010874_7	Illumina_DP_PBN	0.13250010639631185
83.0	7766	M0010874_7	Illumina_DP_PBN	0.10054999710980944
84.0	5574	M0010874_7	Illumina_DP_PBN	0.0696036527260731
85.0	4061	M0010874_7	Illumina_DP_PBN	0.053637481468197655
86.0	3068	M0010874_7	Illumina_DP_PBN	0.038473260808123855
87.0	1771	M0010874_7	Illumina_DP_PBN	0.03706650326192985
88.0	1101	M0010874_7	Illumina_DP_PBN	0.03096871782734959
89.0	541	M0010874_7	Illumina_DP_PBN	0.024086927917298745
90.0	242	M0010874_7	Illumina_DP_PBN	0.026808651664183964
91.0	92	M0010874_7	Illumina_DP_PBN	0.03302148521228245
35.0	29	01_R1430	Illumina_DP_PBN	1.3855007816355542
36.0	76	01_R1430	Illumina_DP_PBN	1.3320929312592353
37.0	95	01_R1430	Illumina_DP_PBN	1.4700394263333108
38.0	126	01_R1430	Illumina_DP_PBN	1.4842086026275176
39.0	174	01_R1430	Illumina_DP_PBN	1.4365977439255784
40.0	313	01_R1430	Illumina_DP_PBN	1.3971618211812422
41.0	505	01_R1430	Illumina_DP_PBN	1.365353179800059
42.0	760	01_R1430	Illumina_DP_PBN	1.3948376354940755
43.0	964	01_R1430	Illumina_DP_PBN	1.4050778482825026
44.0	1394	01_R1430	Illumina_DP_PBN	1.388920312424701
45.0	1884	01_R1430	Illumina_DP_PBN	1.3683150872449394
46.0	2460	01_R1430	Illumina_DP_PBN	1.361083781525815
47.0	3431	01_R1430	Illumina_DP_PBN	1.3451053474030672
48.0	4857	01_R1430	Illumina_DP_PBN	1.3252226844816812
49.0	6764	01_R1430	Illumina_DP_PBN	1.2917894326156334
50.0	9628	01_R1430	Illumina_DP_PBN	1.2541105132054593
51.0	13480	01_R1430	Illumina_DP_PBN	1.2309476380277837
52.0	18882	01_R1430	Illumina_DP_PBN	1.200534400490288
53.0	26325	01_R1430	Illumina_DP_PBN	1.1816557803477787
54.0	36277	01_R1430	Illumina_DP_PBN	1.1615553106399565
55.0	49898	01_R1430	Illumina_DP_PBN	1.1375065865129383
56.0	67199	01_R1430	Illumina_DP_PBN	1.1194316971672984
57.0	87722	01_R1430	Illumina_DP_PBN	1.0983377646691104
58.0	114680	01_R1430	Illumina_DP_PBN	1.0851020880629008
59.0	148049	01_R1430	Illumina_DP_PBN	1.073490625456762
60.0	184245	01_R1430	Illumina_DP_PBN	1.0603429511307882
61.0	220888	01_R1430	Illumina_DP_PBN	1.0479828463568432
62.0	254705	01_R1430	Illumina_DP_PBN	1.0366258444017968
63.0	287077	01_R1430	Illumina_DP_PBN	1.0262616668339943
64.0	308624	01_R1430	Illumina_DP_PBN	1.0157319562836986
65.0	319688	01_R1430	Illumina_DP_PBN	1.0061436054894468
66.0	322910	01_R1430	Illumina_DP_PBN	0.9958397655648569
67.0	312278	01_R1430	Illumina_DP_PBN	0.9870461888759882
68.0	292118	01_R1430	Illumina_DP_PBN	0.9815296213831625
69.0	263852	01_R1430	Illumina_DP_PBN	0.9736268675164867
70.0	229393	01_R1430	Illumina_DP_PBN	0.9639320942058911
71.0	191630	01_R1430	Illumina_DP_PBN	0.9556673722533469
72.0	151859	01_R1430	Illumina_DP_PBN	0.9484764559604113
73.0	119398	01_R1430	Illumina_DP_PBN	0.9393302621716064
74.0	91127	01_R1430	Illumina_DP_PBN	0.9268773601245466
75.0	67943	01_R1430	Illumina_DP_PBN	0.9077746938746942
76.0	49980	01_R1430	Illumina_DP_PBN	0.8822366678084534
77.0	36775	01_R1430	Illumina_DP_PBN	0.8398224747093926
78.0	27017	01_R1430	Illumina_DP_PBN	0.7876640054914905
79.0	19913	01_R1430	Illumina_DP_PBN	0.7224220752253935
80.0	15493	01_R1430	Illumina_DP_PBN	0.6502192973018228
81.0	12600	01_R1430	Illumina_DP_PBN	0.5622717801668573
82.0	9780	01_R1430	Illumina_DP_PBN	0.4888598617690523
83.0	7849	01_R1430	Illumina_DP_PBN	0.4262277956401883
84.0	5591	01_R1430	Illumina_DP_PBN	0.35409663849174955
85.0	4059	01_R1430	Illumina_DP_PBN	0.297916924536818
86.0	3010	01_R1430	Illumina_DP_PBN	0.22761940082301008
87.0	1746	01_R1430	Illumina_DP_PBN	0.192962122962691
88.0	955	01_R1430	Illumina_DP_PBN	0.16620911448761208
89.0	470	01_R1430	Illumina_DP_PBN	0.1288875543069564
90.0	190	01_R1430	Illumina_DP_PBN	0.09598252313249311
91.0	61	01_R1430	Illumina_DP_PBN	0.0741939997251206
35.0	29	02_R0894	Illumina_DP_PBN	1.1934990227974245
36.0	76	02_R0894	Illumina_DP_PBN	1.1546974974022706
37.0	95	02_R0894	Illumina_DP_PBN	1.2071020730042756
38.0	126	02_R0894	Illumina_DP_PBN	1.2273809239646762
39.0	173	02_R0894	Illumina_DP_PBN	1.2255434741954525
40.0	311	02_R0894	Illumina_DP_PBN	1.2251279523520608
41.0	493	02_R0894	Illumina_DP_PBN	1.2529248196472849
42.0	751	02_R0894	Illumina_DP_PBN	1.265218201959991
43.0	964	02_R0894	Illumina_DP_PBN	1.2467682419946011
44.0	1389	02_R0894	Illumina_DP_PBN	1.244033160969044
45.0	1864	02_R0894	Illumina_DP_PBN	1.2294673355862775
46.0	2446	02_R0894	Illumina_DP_PBN	1.210611921069274
47.0	3422	02_R0894	Illumina_DP_PBN	1.1886423836161257
48.0	4834	02_R0894	Illumina_DP_PBN	1.1832955628034543
49.0	6753	02_R0894	Illumina_DP_PBN	1.166192195867169
50.0	9649	02_R0894	Illumina_DP_PBN	1.1486746618430814
51.0	13596	02_R0894	Illumina_DP_PBN	1.1393302090070425
52.0	18887	02_R0894	Illumina_DP_PBN	1.122697459705482
53.0	26259	02_R0894	Illumina_DP_PBN	1.1141740892138863
54.0	36265	02_R0894	Illumina_DP_PBN	1.1067330016472046
55.0	49748	02_R0894	Illumina_DP_PBN	1.0941506791528521
56.0	67224	02_R0894	Illumina_DP_PBN	1.083973221523013
57.0	87777	02_R0894	Illumina_DP_PBN	1.0731274136769557
58.0	114548	02_R0894	Illumina_DP_PBN	1.0671660934606997
59.0	147869	02_R0894	Illumina_DP_PBN	1.0617017184553459
60.0	184796	02_R0894	Illumina_DP_PBN	1.0566180202990618
61.0	221392	02_R0894	Illumina_DP_PBN	1.0489169219253371
62.0	255374	02_R0894	Illumina_DP_PBN	1.041992012195468
63.0	287297	02_R0894	Illumina_DP_PBN	1.0346944522104842
64.0	308972	02_R0894	Illumina_DP_PBN	1.02831677270085
65.0	320227	02_R0894	Illumina_DP_PBN	1.021893070550545
66.0	323783	02_R0894	Illumina_DP_PBN	1.0138145679852175
67.0	313135	02_R0894	Illumina_DP_PBN	1.0056317520816396
68.0	293186	02_R0894	Illumina_DP_PBN	0.9984568782818475
69.0	264569	02_R0894	Illumina_DP_PBN	0.9885255360429107
70.0	229843	02_R0894	Illumina_DP_PBN	0.9758801278772521
71.0	191735	02_R0894	Illumina_DP_PBN	0.9624663045329003
72.0	152424	02_R0894	Illumina_DP_PBN	0.9491162999121162
73.0	119775	02_R0894	Illumina_DP_PBN	0.9337541192393107
74.0	91627	02_R0894	Illumina_DP_PBN	0.9127015101249197
75.0	68403	02_R0894	Illumina_DP_PBN	0.8833370024941789
76.0	50541	02_R0894	Illumina_DP_PBN	0.8443938127400998
77.0	37014	02_R0894	Illumina_DP_PBN	0.7968798377966771
78.0	27439	02_R0894	Illumina_DP_PBN	0.7340614667285296
79.0	20565	02_R0894	Illumina_DP_PBN	0.6561937046439449
80.0	15759	02_R0894	Illumina_DP_PBN	0.5877459773476078
81.0	12766	02_R0894	Illumina_DP_PBN	0.5041722190073054
82.0	9872	02_R0894	Illumina_DP_PBN	0.44172269377547047
83.0	8297	02_R0894	Illumina_DP_PBN	0.3804514444620629
84.0	6037	02_R0894	Illumina_DP_PBN	0.32015454663543846
85.0	4714	02_R0894	Illumina_DP_PBN	0.26520729577141644
86.0	3348	02_R0894	Illumina_DP_PBN	0.21796327128524565
87.0	1994	02_R0894	Illumina_DP_PBN	0.1785556217788736
88.0	1143	02_R0894	Illumina_DP_PBN	0.15168339439303413
89.0	579	02_R0894	Illumina_DP_PBN	0.12199967407826302
90.0	234	02_R0894	Illumina_DP_PBN	0.0955398364958604
91.0	78	02_R0894	Illumina_DP_PBN	0.07463297680926621
35.0	29	02_R1708	Illumina_DP_PBN	1.033171394577977
36.0	76	02_R1708	Illumina_DP_PBN	1.0384980177168002
37.0	95	02_R1708	Illumina_DP_PBN	1.1073891945925867
38.0	126	02_R1708	Illumina_DP_PBN	1.1393582878464399
39.0	173	02_R1708	Illumina_DP_PBN	1.1239427755668923
40.0	311	02_R1708	Illumina_DP_PBN	1.1214352172652446
41.0	493	02_R1708	Illumina_DP_PBN	1.1367035566689063
42.0	751	02_R1708	Illumina_DP_PBN	1.1352946889638706
43.0	964	02_R1708	Illumina_DP_PBN	1.1204853948300366
44.0	1389	02_R1708	Illumina_DP_PBN	1.1215899440237116
45.0	1864	02_R1708	Illumina_DP_PBN	1.1204094213533868
46.0	2446	02_R1708	Illumina_DP_PBN	1.1135647975449807
47.0	3422	02_R1708	Illumina_DP_PBN	1.1071763789140003
48.0	4836	02_R1708	Illumina_DP_PBN	1.1025754597558584
49.0	6773	02_R1708	Illumina_DP_PBN	1.0871841800837378
50.0	9703	02_R1708	Illumina_DP_PBN	1.0729575838932652
51.0	13709	02_R1708	Illumina_DP_PBN	1.0652401986307665
52.0	19014	02_R1708	Illumina_DP_PBN	1.0563842163366768
53.0	26428	02_R1708	Illumina_DP_PBN	1.052828636969228
54.0	36427	02_R1708	Illumina_DP_PBN	1.0516338357319541
55.0	49955	02_R1708	Illumina_DP_PBN	1.0472492583490414
56.0	67446	02_R1708	Illumina_DP_PBN	1.0425510060202547
57.0	88130	02_R1708	Illumina_DP_PBN	1.038251215701205
58.0	114967	02_R1708	Illumina_DP_PBN	1.034541208777884
59.0	148326	02_R1708	Illumina_DP_PBN	1.0317755959984598
60.0	185163	02_R1708	Illumina_DP_PBN	1.029808971917283
61.0	221714	02_R1708	Illumina_DP_PBN	1.027876359857032
62.0	255661	02_R1708	Illumina_DP_PBN	1.025565065120827
63.0	287610	02_R1708	Illumina_DP_PBN	1.0235162490875316
64.0	309195	02_R1708	Illumina_DP_PBN	1.021526243531959
65.0	320416	02_R1708	Illumina_DP_PBN	1.019582840527409
66.0	323898	02_R1708	Illumina_DP_PBN	1.0151208554503484
67.0	313192	02_R1708	Illumina_DP_PBN	1.0123252230450188
