Chrom	Start	End	H37rv_GeneID	IntergenicRegion_IsNextTo_PLC_Gene	Intergenic_GeneToTheLeft	Intergenic_GeneToTheLeft_FuncCategory	Intergenic_GeneToTheRight	Intergenic_GeneToTheRight_FuncCategory
NC_000962.3	1524	2051	IntergenicRegion_1_Rv0001-Rv0002	False	Rv0001	NotExcluded	Rv0002	NotExcluded
NC_000962.3	3260	3279	IntergenicRegion_2_Rv0002-Rv0003	False	Rv0002	NotExcluded	Rv0003	NotExcluded
NC_000962.3	4997	5239	IntergenicRegion_3_Rv0004-Rv0005	False	Rv0004	NotExcluded	Rv0005	NotExcluded
NC_000962.3	7267	7301	IntergenicRegion_4_Rv0005-Rv0006	False	Rv0005	NotExcluded	Rv0006	NotExcluded
NC_000962.3	9818	9913	IntergenicRegion_5_Rv0006-Rv0007	False	Rv0006	NotExcluded	Rv0007	NotExcluded
NC_000962.3	10828	10886	IntergenicRegion_6_Rv0007-MTB000001	False	Rv0007	NotExcluded	MTB000001	NotExcluded
NC_000962.3	10960	11111	IntergenicRegion_7_MTB000001-MTB000002	False	MTB000001	NotExcluded	MTB000002	NotExcluded
NC_000962.3	11184	11873	IntergenicRegion_8_MTB000002-Rv0008c	False	MTB000002	NotExcluded	Rv0008c	NotExcluded
NC_000962.3	12311	12467	IntergenicRegion_9_Rv0008c-Rv0009	False	Rv0008c	NotExcluded	Rv0009	NotExcluded
NC_000962.3	13016	13132	IntergenicRegion_10_Rv0009-Rv0010c	False	Rv0009	NotExcluded	Rv0010c	NotExcluded
NC_000962.3	13558	13713	IntergenicRegion_11_Rv0010c-Rv0011c	False	Rv0010c	NotExcluded	Rv0011c	NotExcluded
NC_000962.3	13995	14088	IntergenicRegion_12_Rv0011c-Rv0012	False	Rv0011c	NotExcluded	Rv0012	NotExcluded
NC_000962.3	14877	14913	IntergenicRegion_13_Rv0012-Rv0013	False	Rv0012	NotExcluded	Rv0013	NotExcluded
NC_000962.3	23181	23269	IntergenicRegion_14_Rv0018c-Rv0019c	False	Rv0018c	NotExcluded	Rv0019c	NotExcluded
NC_000962.3	23737	23860	IntergenicRegion_15_Rv0019c-Rv0020c	False	Rv0019c	NotExcluded	Rv0020c	NotExcluded
NC_000962.3	25444	25643	IntergenicRegion_16_Rv0020c-MTB000003	False	Rv0020c	NotExcluded	MTB000003	NotExcluded
NC_000962.3	25726	25912	IntergenicRegion_17_MTB000003-Rv0021c	False	MTB000003	NotExcluded	Rv0021c	NotExcluded
NC_000962.3	26881	27022	IntergenicRegion_18_Rv0021c-Rv0022c	False	Rv0021c	NotExcluded	Rv0022c	NotExcluded
NC_000962.3	27442	27594	IntergenicRegion_19_Rv0022c-Rv0023	False	Rv0022c	NotExcluded	Rv0023	NotExcluded
NC_000962.3	29207	29244	IntergenicRegion_20_Rv0024-Rv0025	False	Rv0024	NotExcluded	Rv0025	NotExcluded
NC_000962.3	29607	29721	IntergenicRegion_21_Rv0025-Rv0026	False	Rv0025	NotExcluded	Rv0026	NotExcluded
NC_000962.3	31068	31188	IntergenicRegion_22_Rv0026-Rv0027	False	Rv0026	NotExcluded	Rv0027	NotExcluded
NC_000962.3	31506	31513	IntergenicRegion_23_Rv0027-Rv0028	False	Rv0027	NotExcluded	Rv0028	NotExcluded
NC_000962.3	31819	32056	IntergenicRegion_24_Rv0028-Rv0029	False	Rv0028	NotExcluded	Rv0029	NotExcluded
NC_000962.3	33154	33223	IntergenicRegion_25_Rv0029-Rv0030	False	Rv0029	NotExcluded	Rv0030	NotExcluded
NC_000962.3	33553	33581	IntergenicRegion_26_Rv0030-Rv0031	True	Rv0030	NotExcluded	Rv0031	InsertionSeqs_And_Phages
NC_000962.3	33794	34294	IntergenicRegion_27_Rv0031-Rv0032	True	Rv0031	InsertionSeqs_And_Phages	Rv0032	NotExcluded
NC_000962.3	38947	39055	IntergenicRegion_28_Rv0035-Rv0036c	False	Rv0035	NotExcluded	Rv0036c	NotExcluded
NC_000962.3	39829	39876	IntergenicRegion_29_Rv0036c-Rv0037c	False	Rv0036c	NotExcluded	Rv0037c	NotExcluded
NC_000962.3	41202	41303	IntergenicRegion_30_Rv0037c-Rv0038	False	Rv0037c	NotExcluded	Rv0038	NotExcluded
NC_000962.3	41912	42003	IntergenicRegion_31_Rv0038-Rv0039c	False	Rv0038	NotExcluded	Rv0039c	NotExcluded
NC_000962.3	42351	42432	IntergenicRegion_32_Rv0039c-Rv0040c	False	Rv0039c	NotExcluded	Rv0040c	NotExcluded
NC_000962.3	43365	43561	IntergenicRegion_33_Rv0040c-Rv0041	False	Rv0040c	NotExcluded	Rv0041	NotExcluded
NC_000962.3	46471	46580	IntergenicRegion_34_Rv0041-Rv0042c	False	Rv0041	NotExcluded	Rv0042c	NotExcluded
NC_000962.3	47207	47365	IntergenicRegion_35_Rv0042c-Rv0043c	False	Rv0042c	NotExcluded	Rv0043c	NotExcluded
NC_000962.3	48100	48232	IntergenicRegion_36_Rv0043c-Rv0044c	False	Rv0043c	NotExcluded	Rv0044c	NotExcluded
NC_000962.3	49027	49042	IntergenicRegion_37_Rv0044c-Rv0045c	False	Rv0044c	NotExcluded	Rv0045c	NotExcluded
NC_000962.3	49939	50020	IntergenicRegion_38_Rv0045c-Rv0046c	False	Rv0045c	NotExcluded	Rv0046c	NotExcluded
NC_000962.3	51124	51184	IntergenicRegion_39_Rv0046c-Rv0047c	False	Rv0046c	NotExcluded	Rv0047c	NotExcluded
NC_000962.3	51727	51827	IntergenicRegion_40_Rv0047c-Rv0048c	False	Rv0047c	NotExcluded	Rv0048c	NotExcluded
NC_000962.3	52697	52830	IntergenicRegion_41_Rv0048c-Rv0049	False	Rv0048c	NotExcluded	Rv0049	NotExcluded
NC_000962.3	53244	53662	IntergenicRegion_42_Rv0049-Rv0050	False	Rv0049	NotExcluded	Rv0050	NotExcluded
NC_000962.3	57378	57409	IntergenicRegion_43_Rv0051-Rv0052	False	Rv0051	NotExcluded	Rv0052	NotExcluded
NC_000962.3	57973	58191	IntergenicRegion_44_Rv0052-Rv0053	False	Rv0052	NotExcluded	Rv0053	NotExcluded
NC_000962.3	58482	58585	IntergenicRegion_45_Rv0053-Rv0054	False	Rv0053	NotExcluded	Rv0054	NotExcluded
NC_000962.3	59080	59121	IntergenicRegion_46_Rv0054-Rv0055	False	Rv0054	NotExcluded	Rv0055	NotExcluded
NC_000962.3	59376	59408	IntergenicRegion_47_Rv0055-Rv0056	False	Rv0055	NotExcluded	Rv0056	NotExcluded
NC_000962.3	59867	59895	IntergenicRegion_48_Rv0056-Rv0057	False	Rv0056	NotExcluded	Rv0057	NotExcluded
NC_000962.3	63020	63199	IntergenicRegion_49_Rv0058-Rv0059	False	Rv0058	NotExcluded	Rv0059	NotExcluded
NC_000962.3	63892	63908	IntergenicRegion_50_Rv0059-Rv0060	False	Rv0059	NotExcluded	Rv0060	NotExcluded
NC_000962.3	64967	65011	IntergenicRegion_51_Rv0060-Rv0061c	False	Rv0060	NotExcluded	Rv0061c	NotExcluded
NC_000962.3	65350	65551	IntergenicRegion_52_Rv0061c-Rv0062	False	Rv0061c	NotExcluded	Rv0062	NotExcluded
NC_000962.3	66694	66922	IntergenicRegion_53_Rv0062-Rv0063	False	Rv0062	NotExcluded	Rv0063	NotExcluded
NC_000962.3	68362	68619	IntergenicRegion_54_Rv0063-Rv0064	False	Rv0063	NotExcluded	Rv0064	NotExcluded
NC_000962.3	71559	71588	IntergenicRegion_55_Rv0064-Rv0064A	False	Rv0064	NotExcluded	Rv0064A	NotExcluded
NC_000962.3	72222	72273	IntergenicRegion_56_Rv0065-Rv0066c	False	Rv0065	NotExcluded	Rv0066c	NotExcluded
NC_000962.3	74511	74628	IntergenicRegion_57_Rv0066c-Rv0067c	False	Rv0066c	NotExcluded	Rv0067c	NotExcluded
NC_000962.3	75198	75300	IntergenicRegion_58_Rv0067c-Rv0068	False	Rv0067c	NotExcluded	Rv0068	NotExcluded
NC_000962.3	76212	76236	IntergenicRegion_59_Rv0068-Rv0069c	False	Rv0068	NotExcluded	Rv0069c	NotExcluded
NC_000962.3	78896	79485	IntergenicRegion_60_Rv0070c-Rv0071	False	Rv0070c	NotExcluded	Rv0071	NotExcluded
NC_000962.3	80193	80623	IntergenicRegion_61_Rv0071-Rv0072	False	Rv0071	NotExcluded	Rv0072	NotExcluded
NC_000962.3	81673	81675	IntergenicRegion_62_Rv0072-Rv0073	False	Rv0072	NotExcluded	Rv0073	NotExcluded
NC_000962.3	82668	82747	IntergenicRegion_63_Rv0073-Rv0074	False	Rv0073	NotExcluded	Rv0074	NotExcluded
NC_000962.3	83983	83995	IntergenicRegion_64_Rv0074-Rv0075	False	Rv0074	NotExcluded	Rv0075	NotExcluded
NC_000962.3	85168	85182	IntergenicRegion_65_Rv0075-Rv0076c	False	Rv0075	NotExcluded	Rv0076c	NotExcluded
NC_000962.3	85572	85635	IntergenicRegion_66_Rv0076c-Rv0077c	False	Rv0076c	NotExcluded	Rv0077c	NotExcluded
NC_000962.3	86466	86527	IntergenicRegion_67_Rv0077c-Rv0078	False	Rv0077c	NotExcluded	Rv0078	NotExcluded
NC_000962.3	87133	87207	IntergenicRegion_68_Rv0078-Rv0078A	False	Rv0078	NotExcluded	Rv0078A	NotExcluded
NC_000962.3	88004	88203	IntergenicRegion_69_Rv0078B-Rv0079	False	Rv0078B	NotExcluded	Rv0079	NotExcluded
NC_000962.3	89480	89574	IntergenicRegion_70_Rv0080-Rv0081	False	Rv0080	NotExcluded	Rv0081	NotExcluded
