Chrom	Start	End	Strand	H37rv_GeneID	Symbol	Feature	ExcludedGroup_Category	PEandPPE_Subfamily	Product	Functional_Category	Is_Pseudogene	IntergenicRegion_IsNextTo_PLC_Gene	Intergenic_GeneToTheLeft	Intergenic_GeneToTheLeft_FuncCategory	Intergenic_GeneToTheRight	Intergenic_GeneToTheRight_FuncCategory	Mean_EBR_36CI	gene_PercentPerfect_EBR_36CI	gene_ProportionWith_NANs_EBR_36CI	gene_GC_Content	Mean_PileupMapScore_K50_E4	Mean_PileupMapScore_K100_E4	Mean_PileupMapScore_K125_E4	Length
NC_000962.3	0	1524	+	Rv0001	dnaA	CDS	NotExcluded	None	Chromosomal replication initiator protein DnaA	information pathways	No						0.9974300087489065	92.97900262467192	0.0	58.9238845144357	1.0	1.0	1.0	1524
NC_000962.3	1524	2051		IntergenicRegion_1_Rv0001-Rv0002		Intergenic	Intergenic			Intergenic		False	Rv0001	NotExcluded	Rv0002	NotExcluded	0.999314779675311	97.53320683111954	0.0	56.92599620493359	1.0	1.0	1.0	527
NC_000962.3	2051	3260	+	Rv0002	dnaN	CDS	NotExcluded	None	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	information pathways	No						0.9980930061575224	93.13482216708023	0.0	59.966914805624484	1.0	1.0	1.0	1209
NC_000962.3	3260	3279		IntergenicRegion_2_Rv0002-Rv0003		Intergenic	Intergenic			Intergenic		False	Rv0002	NotExcluded	Rv0003	NotExcluded	1.0	100.0	0.0	73.6842105263158	1.0	1.0	1.0	19
NC_000962.3	3279	4437	+	Rv0003	recF	CDS	NotExcluded	None	DNA replication and repair protein RecF (single-strand DNA binding protein)	information pathways	No						1.0	100.0	0.0	59.93091537132988	1.0	1.0	1.0	1158
NC_000962.3	4433	4997	+	Rv0004	Rv0004	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	66.13475177304964	1.0	1.0	1.0	564
NC_000962.3	4997	5239		IntergenicRegion_3_Rv0004-Rv0005		Intergenic	Intergenic			Intergenic		False	Rv0004	NotExcluded	Rv0005	NotExcluded	1.0	100.0	0.0	64.0495867768595	1.0	1.0	1.0	242
NC_000962.3	5239	7267	+	Rv0005	gyrB	CDS	NotExcluded	None	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	information pathways	No						1.0	100.0	0.0	60.20710059171598	1.0	1.0	1.0	2028
NC_000962.3	7267	7301		IntergenicRegion_4_Rv0005-Rv0006		Intergenic	Intergenic			Intergenic		False	Rv0005	NotExcluded	Rv0006	NotExcluded	1.0	100.0	0.0	52.94117647058823	1.0	1.0	1.0	34
NC_000962.3	7301	9818	+	Rv0006	gyrA	CDS	NotExcluded	None	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	information pathways	No						0.9999889639341367	99.96027016289233	0.0	63.88557806912991	1.0	1.0	1.0	2517
NC_000962.3	9818	9913		IntergenicRegion_5_Rv0006-Rv0007		Intergenic	Intergenic			Intergenic		False	Rv0006	NotExcluded	Rv0007	NotExcluded	1.0	100.0	0.0	65.26315789473684	1.0	1.0	1.0	95
NC_000962.3	9913	10828	+	Rv0007	Rv0007	CDS	NotExcluded	None	Possible conserved membrane protein	cell wall and cell processes	No						0.9982999392835459	96.17486338797814	0.0	68.19672131147541	1.0	1.0	1.0	915
NC_000962.3	10828	10886		IntergenicRegion_6_Rv0007-MTB000001		Intergenic	Intergenic			Intergenic		False	Rv0007	NotExcluded	MTB000001	NotExcluded	1.0	100.0	0.0	62.06896551724138	1.0	1.0	1.0	58
NC_000962.3	10886	10960	+	MTB000001	ileT	tRNA	NotExcluded	None	tRNA-Ile (GAT)	stable RNAs	No						1.0	100.0	0.0	59.45945945945946	1.0	1.0	1.0	74
NC_000962.3	10960	11111		IntergenicRegion_7_MTB000001-MTB000002		Intergenic	Intergenic			Intergenic		False	MTB000001	NotExcluded	MTB000002	NotExcluded	1.0	100.0	0.0	64.23841059602648	1.0	1.0	1.0	151
NC_000962.3	11111	11184	+	MTB000002	alaT	tRNA	NotExcluded	None	tRNA-Ala (TGC)	stable RNAs	No						0.9935312024353119	76.71232876712328	0.0	61.64383561643836	1.0	1.0	1.0	73
NC_000962.3	11184	11873		IntergenicRegion_8_MTB000002-Rv0008c		Intergenic	Intergenic			Intergenic		False	MTB000002	NotExcluded	Rv0008c	NotExcluded	1.0	100.0	0.0	61.24818577648767	1.0	1.0	1.0	689
NC_000962.3	11873	12311	-	Rv0008c	Rv0008c	CDS	NotExcluded	None	Possible membrane protein	cell wall and cell processes	No						1.0	100.0	0.0	70.77625570776256	1.0	1.0	1.0	438
NC_000962.3	12311	12467		IntergenicRegion_9_Rv0008c-Rv0009		Intergenic	Intergenic			Intergenic		False	Rv0008c	NotExcluded	Rv0009	NotExcluded	1.0	100.0	0.0	67.94871794871794	1.0	1.0	1.0	156
NC_000962.3	12467	13016	+	Rv0009	ppiA	CDS	NotExcluded	None	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	information pathways	No						1.0	100.0	0.0	62.47723132969035	1.0	1.0	1.0	549
NC_000962.3	13016	13132		IntergenicRegion_10_Rv0009-Rv0010c		Intergenic	Intergenic			Intergenic		False	Rv0009	NotExcluded	Rv0010c	NotExcluded	0.9995210727969348	98.27586206896551	0.0	68.10344827586206	1.0	1.0	1.0	116
NC_000962.3	13132	13558	-	Rv0010c	Rv0010c	CDS	NotExcluded	None	Probable conserved membrane protein	cell wall and cell processes	No						1.0	100.0	0.0	62.44131455399061	1.0	1.0	1.0	426
NC_000962.3	13558	13713		IntergenicRegion_11_Rv0010c-Rv0011c		Intergenic	Intergenic			Intergenic		False	Rv0010c	NotExcluded	Rv0011c	NotExcluded	1.0	100.0	0.0	48.38709677419355	1.0	1.0	1.0	155
NC_000962.3	13713	13995	-	Rv0011c	Rv0011c	CDS	NotExcluded	None	Probable conserved transmembrane protein	cell wall and cell processes	No						1.0	100.0	0.0	56.38297872340426	1.0	1.0	1.0	282
NC_000962.3	13995	14088		IntergenicRegion_12_Rv0011c-Rv0012		Intergenic	Intergenic			Intergenic		False	Rv0011c	NotExcluded	Rv0012	NotExcluded	1.0	100.0	0.0	56.98924731182796	1.0	1.0	1.0	93
NC_000962.3	14088	14877	+	Rv0012	Rv0012	CDS	NotExcluded	None	Probable conserved membrane protein	cell wall and cell processes	No						1.0	100.0	0.0	64.76552598225602	1.0	1.0	1.0	789
NC_000962.3	14877	14913		IntergenicRegion_13_Rv0012-Rv0013		Intergenic	Intergenic			Intergenic		False	Rv0012	NotExcluded	Rv0013	NotExcluded	1.0	100.0	0.0	69.44444444444444	1.0	1.0	1.0	36
NC_000962.3	14913	15612	+	Rv0013	trpG	CDS	NotExcluded	None	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	intermediary metabolism and respiration	No						1.0	100.0	0.0	63.94849785407725	1.0	1.0	1.0	699
NC_000962.3	15589	17470	-	Rv0014c	pknB	CDS	NotExcluded	None	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	regulatory proteins	No						1.0	100.0	0.0	63.264221158958	1.0	1.0	1.0	1881
NC_000962.3	17466	18762	-	Rv0015c	pknA	CDS	NotExcluded	None	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	regulatory proteins	No						0.9997427983539093	99.22839506172839	0.0	67.66975308641975	1.0	1.0	1.0	1296
NC_000962.3	18758	20234	-	Rv0016c	pbpA	CDS	NotExcluded	None	Probable penicillin-binding protein PbpA	cell wall and cell processes	No						0.9997929840409514	99.25474254742548	0.0	64.49864498644986	1.0	1.0	1.0	1476
NC_000962.3	20230	21640	-	Rv0017c	rodA	CDS	NotExcluded	None	Probable cell division protein RodA	cell wall and cell processes	No						0.999074074074074	96.66666666666667	0.0	62.12765957446808	1.0	1.0	1.0	1410
NC_000962.3	21636	23181	-	Rv0018c	pstP	CDS	NotExcluded	None	Phosphoserine/threonine phosphatase PstP	regulatory proteins	No						0.9992268967997124	97.41100323624595	0.0	67.57281553398059	0.9997432577734627	1.0	1.0	1545
NC_000962.3	23181	23269		IntergenicRegion_14_Rv0018c-Rv0019c		Intergenic	Intergenic			Intergenic		False	Rv0018c	NotExcluded	Rv0019c	NotExcluded	1.0	100.0	0.0	75.0	0.8984469402272727	1.0	1.0	88
NC_000962.3	23269	23737	-	Rv0019c	fhaB	CDS	NotExcluded	None	Conserved protein with FHA domain, FhaB	regulatory proteins	No						1.0	100.0	0.0	63.034188034188034	1.0	1.0	1.0	468
NC_000962.3	23737	23860		IntergenicRegion_15_Rv0019c-Rv0020c		Intergenic	Intergenic			Intergenic		False	Rv0019c	NotExcluded	Rv0020c	NotExcluded	1.0	100.0	0.0	66.66666666666667	1.0	1.0	1.0	123
NC_000962.3	23860	25444	-	Rv0020c	fhaA	CDS	NotExcluded	None	Conserved protein with FHA domain, FhaA	regulatory proteins	No						0.9934939674523007	97.03282828282829	0.0	66.3510101010101	1.0	1.0	1.0	1584
NC_000962.3	25444	25643		IntergenicRegion_16_Rv0020c-MTB000003		Intergenic	Intergenic			Intergenic		False	Rv0020c	NotExcluded	MTB000003	NotExcluded	1.0	100.0	0.0	63.31658291457286	1.0	1.0	1.0	199
NC_000962.3	25643	25726	+	MTB000003	leuT	tRNA	NotExcluded	None	tRNA-Leu (CAG)	stable RNAs	No						1.0	100.0	0.0	67.46987951807229	1.0	1.0	1.0	83
NC_000962.3	25726	25912		IntergenicRegion_17_MTB000003-Rv0021c		Intergenic	Intergenic			Intergenic		False	MTB000003	NotExcluded	Rv0021c	NotExcluded	1.0	100.0	0.0	69.89247311827957	1.0	1.0	1.0	186
NC_000962.3	25912	26881	-	Rv0021c	Rv0021c	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						0.9999713335626648	99.89680082559339	0.0	66.04747162022704	1.0	1.0	1.0	969
NC_000962.3	26881	27022		IntergenicRegion_18_Rv0021c-Rv0022c		Intergenic	Intergenic			Intergenic		False	Rv0021c	NotExcluded	Rv0022c	NotExcluded	1.0	100.0	0.0	63.12056737588652	1.0	1.0	1.0	141
NC_000962.3	27022	27442	-	Rv0022c	whiB5	CDS	NotExcluded	None	Probable transcriptional regulatory protein WhiB-like WhiB5	regulatory proteins	No						1.0	100.0	0.0	68.33333333333333	1.0	1.0	1.0	420
NC_000962.3	27442	27594		IntergenicRegion_19_Rv0022c-Rv0023		Intergenic	Intergenic			Intergenic		False	Rv0022c	NotExcluded	Rv0023	NotExcluded	1.0	100.0	0.0	55.26315789473684	1.0	1.0	1.0	152
NC_000962.3	27594	28365	+	Rv0023	Rv0023	CDS	NotExcluded	None	Possible transcriptional regulatory protein	regulatory proteins	No						0.9996757457846952	98.83268482490273	0.0	67.31517509727627	1.0	1.0	1.0	771
NC_000962.3	28361	29207	+	Rv0024	Rv0024	CDS	NotExcluded	None	Putative secreted protein P60-related protein	virulence, detoxification, adaptation	No						1.0	100.0	0.0	69.03073286052009	1.0	1.0	1.0	846
NC_000962.3	29207	29244		IntergenicRegion_20_Rv0024-Rv0025		Intergenic	Intergenic			Intergenic		False	Rv0024	NotExcluded	Rv0025	NotExcluded	1.0	100.0	0.0	56.75675675675676	1.0	1.0	1.0	37
NC_000962.3	29244	29607	+	Rv0025	Rv0025	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	65.2892561983471	1.0	1.0	1.0	363
NC_000962.3	29607	29721		IntergenicRegion_21_Rv0025-Rv0026		Intergenic	Intergenic			Intergenic		False	Rv0025	NotExcluded	Rv0026	NotExcluded	1.0	100.0	0.0	66.66666666666667	1.0	1.0	1.0	114
NC_000962.3	29721	31068	+	Rv0026	Rv0026	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	65.10764662212324	1.0	1.0	1.0	1347
NC_000962.3	31068	31188		IntergenicRegion_22_Rv0026-Rv0027		Intergenic	Intergenic			Intergenic		False	Rv0026	NotExcluded	Rv0027	NotExcluded	1.0	100.0	0.0	69.16666666666667	1.0	1.0	1.0	120
NC_000962.3	31188	31506	+	Rv0027	Rv0027	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	62.893081761006286	1.0	1.0	1.0	318
NC_000962.3	31506	31513		IntergenicRegion_23_Rv0027-Rv0028		Intergenic	Intergenic			Intergenic		False	Rv0027	NotExcluded	Rv0028	NotExcluded	1.0	100.0	0.0	85.71428571428571	1.0	1.0	1.0	7
NC_000962.3	31513	31819	+	Rv0028	Rv0028	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	63.72549019607843	1.0	1.0	1.0	306
NC_000962.3	31819	32056		IntergenicRegion_24_Rv0028-Rv0029		Intergenic	Intergenic			Intergenic		False	Rv0028	NotExcluded	Rv0029	NotExcluded	1.0	100.0	0.0	63.71308016877637	1.0	1.0	1.0	237
NC_000962.3	32056	33154	+	Rv0029	Rv0029	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	66.12021857923497	1.0	1.0	1.0	1098
NC_000962.3	33154	33223		IntergenicRegion_25_Rv0029-Rv0030		Intergenic	Intergenic			Intergenic		False	Rv0029	NotExcluded	Rv0030	NotExcluded	1.0	100.0	0.0	60.869565217391305	1.0	1.0	1.0	69
NC_000962.3	33223	33553	+	Rv0030	Rv0030	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	65.45454545454545	1.0	1.0	1.0	330
NC_000962.3	33553	33581		IntergenicRegion_26_Rv0030-Rv0031		Intergenic	Intergenic			Intergenic		True	Rv0030	NotExcluded	Rv0031	InsertionSeqs_And_Phages	1.0	100.0	0.0	53.57142857142857	1.0	1.0	1.0	28
NC_000962.3	33581	33794	+	Rv0031	Rv0031	CDS	InsertionSeqs_And_Phages	None	Possible remnant of a transposase	insertion seqs and phages	No						1.0	100.0	0.0	66.66666666666667	1.0	1.0	1.0	213
NC_000962.3	33794	34294		IntergenicRegion_27_Rv0031-Rv0032		Intergenic	Intergenic			Intergenic		True	Rv0031	InsertionSeqs_And_Phages	Rv0032	NotExcluded	1.0	100.0	0.0	58.8	1.0	1.0	1.0	500
NC_000962.3	34294	36610	+	Rv0032	bioF2	CDS	NotExcluded	None	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	intermediary metabolism and respiration	No						0.9992323930147764	98.53195164075993	0.0	62.04663212435233	1.0	1.0	1.0	2316
NC_000962.3	36606	36870	+	Rv0033	acpA	CDS	NotExcluded	None	Probable acyl carrier protein AcpA (ACP)	lipid metabolism	No						1.0	100.0	0.0	56.81818181818182	1.0	1.0	1.0	264
NC_000962.3	36866	37262	+	Rv0034	Rv0034	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No						1.0	100.0	0.0	65.65656565656566	1.0	1.0	1.0	396
NC_000962.3	37258	38947	+	Rv0035	fadD34	CDS	NotExcluded	None	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	lipid metabolism	No						1.0	100.0	0.0	63.58792184724689	1.0	1.0	1.0	1689
NC_000962.3	38947	39055		IntergenicRegion_28_Rv0035-Rv0036c		Intergenic	Intergenic			Intergenic		False	Rv0035	NotExcluded	Rv0036c	NotExcluded	0.9963991769547326	97.22222222222221	0.0	71.29629629629629	1.0	1.0	1.0	108
NC_000962.3	39055	39829	-	Rv0036c	Rv0036c	CDS	NotExcluded	None	Conserved protein	conserved hypotheticals	No						1.0	100.0	0.0	68.73385012919897	1.0	1.0	1.0	774
NC_000962.3	39829	39876		IntergenicRegion_29_Rv0036c-Rv0037c		Intergenic	Intergenic			Intergenic		False	Rv0036c	NotExcluded	Rv0037c	NotExcluded	1.0	100.0	0.0	53.191489361702125	1.0	1.0	1.0	47
