Chrom	Start	End	Strand	H37rv_GeneID	Symbol	Feature	Functional_Category	Is_Pseudogene	Product	PEandPPE_Subfamily	ExcludedGroup_Category
NC_000962.3	0	1524	+	Rv0001	dnaA	CDS	information pathways	No	Chromosomal replication initiator protein DnaA	None	NotExcluded
NC_000962.3	2051	3260	+	Rv0002	dnaN	CDS	information pathways	No	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	None	NotExcluded
NC_000962.3	3279	4437	+	Rv0003	recF	CDS	information pathways	No	DNA replication and repair protein RecF (single-strand DNA binding protein)	None	NotExcluded
NC_000962.3	4433	4997	+	Rv0004	Rv0004	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	5239	7267	+	Rv0005	gyrB	CDS	information pathways	No	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	None	NotExcluded
NC_000962.3	7301	9818	+	Rv0006	gyrA	CDS	information pathways	No	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	None	NotExcluded
NC_000962.3	9913	10828	+	Rv0007	Rv0007	CDS	cell wall and cell processes	No	Possible conserved membrane protein	None	NotExcluded
NC_000962.3	10886	10960	+	MTB000001	ileT	tRNA	stable RNAs	No	tRNA-Ile (GAT)	None	NotExcluded
NC_000962.3	11111	11184	+	MTB000002	alaT	tRNA	stable RNAs	No	tRNA-Ala (TGC)	None	NotExcluded
NC_000962.3	11873	12311	-	Rv0008c	Rv0008c	CDS	cell wall and cell processes	No	Possible membrane protein	None	NotExcluded
NC_000962.3	12467	13016	+	Rv0009	ppiA	CDS	information pathways	No	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	None	NotExcluded
NC_000962.3	13132	13558	-	Rv0010c	Rv0010c	CDS	cell wall and cell processes	No	Probable conserved membrane protein	None	NotExcluded
