Chrom	Start	End	Strand	H37rv_GeneID	Symbol	Feature	ExcludedGroup_Category	PEandPPE_Subfamily	Product	Functional_Category	Is_Pseudogene	Mean_EBR_36CI	gene_PercentPerfect_EBR_36CI	gene_ProportionWith_NANs_EBR_36CI	gene_GC_Content	Mean_PileupMapScore_K50_E4	Mean_PileupMapScore_K100_E4	Mean_PileupMapScore_K125_E4	Length
NC_000962.3	0	1524	+	Rv0001	dnaA	CDS	NotExcluded	None	Chromosomal replication initiator protein DnaA	information pathways	No	0.9974300087489065	92.97900262467192	0.0	58.9238845144357	1.0	1.0	1.0	1524
NC_000962.3	2051	3260	+	Rv0002	dnaN	CDS	NotExcluded	None	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	information pathways	No	0.9980930061575224	93.13482216708023	0.0	59.966914805624484	1.0	1.0	1.0	1209
NC_000962.3	3279	4437	+	Rv0003	recF	CDS	NotExcluded	None	DNA replication and repair protein RecF (single-strand DNA binding protein)	information pathways	No	1.0	100.0	0.0	59.93091537132988	1.0	1.0	1.0	1158
NC_000962.3	4433	4997	+	Rv0004	Rv0004	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	66.13475177304964	1.0	1.0	1.0	564
NC_000962.3	5239	7267	+	Rv0005	gyrB	CDS	NotExcluded	None	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	information pathways	No	1.0	100.0	0.0	60.20710059171598	1.0	1.0	1.0	2028
NC_000962.3	7301	9818	+	Rv0006	gyrA	CDS	NotExcluded	None	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	information pathways	No	0.9999889639341367	99.96027016289233	0.0	63.88557806912991	1.0	1.0	1.0	2517
NC_000962.3	9913	10828	+	Rv0007	Rv0007	CDS	NotExcluded	None	Possible conserved membrane protein	cell wall and cell processes	No	0.9982999392835459	96.17486338797814	0.0	68.19672131147541	1.0	1.0	1.0	915
NC_000962.3	10886	10960	+	MTB000001	ileT	tRNA	NotExcluded	None	tRNA-Ile (GAT)	stable RNAs	No	1.0	100.0	0.0	59.45945945945946	1.0	1.0	1.0	74
NC_000962.3	11111	11184	+	MTB000002	alaT	tRNA	NotExcluded	None	tRNA-Ala (TGC)	stable RNAs	No	0.9935312024353119	76.71232876712328	0.0	61.64383561643836	1.0	1.0	1.0	73
NC_000962.3	11873	12311	-	Rv0008c	Rv0008c	CDS	NotExcluded	None	Possible membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	70.77625570776256	1.0	1.0	1.0	438
NC_000962.3	12467	13016	+	Rv0009	ppiA	CDS	NotExcluded	None	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	information pathways	No	1.0	100.0	0.0	62.47723132969035	1.0	1.0	1.0	549
NC_000962.3	13132	13558	-	Rv0010c	Rv0010c	CDS	NotExcluded	None	Probable conserved membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	62.44131455399061	1.0	1.0	1.0	426
NC_000962.3	13713	13995	-	Rv0011c	Rv0011c	CDS	NotExcluded	None	Probable conserved transmembrane protein	cell wall and cell processes	No	1.0	100.0	0.0	56.38297872340426	1.0	1.0	1.0	282
