lineage,position,gene_coordinate,allele_change,codon_number,codon_change,amino_acid_change,locus_Id,gene_name,mutation_type,essential,diagnostic_snp
lineage1,6112,873,G/C,291,ATG/ATC,M/I,Rv0005,gyrB,nonsyn,essential,no
lineage1,8452,1151,C/T,384,GCA/GTA,A/V,Rv0006,gyrA,nonsyn,nonessential,no
lineage1,13298,261,G/C,87,ATC/ATG,I/M,Rv0010c,0,nonsyn,nonessential,no
lineage1,22961,221,T/G,74,GAT/GCT,D/A,Rv0018c,pstP,nonsyn,nonessential,no
lineage1,26347,535,C/G,179,GAC/CAC,D/H,Rv0021c,0,nonsyn,nonessential,no
lineage1,27996,402,T/C,134,TAT/TAC,Y/Y,Rv0023,0,syn,nonessential,no
lineage1,64028,120,C/T,40,CCC/CCT,P/P,Rv0060,0,syn,essential,no
lineage1,65159,192,G/A,64,GGC/GGT,G/G,Rv0061c,0,syn,nonessential,no
lineage1,65663,112,C/G,38,CAT/GAT,H/D,Rv0062,celA1,nonsyn,nonessential,no
lineage1,66892,0,C/G,0,./.,./.,0,0,inter,0,no
lineage1,68174,1252,T/C,418,TCG/CCG,S/P,Rv0063,0,nonsyn,nonessential,no
lineage1,74737,462,T/G,154,GAA/GAC,E/D,Rv0067c,0,nonsyn,nonessential,no
lineage1,79479,0,T/C,0,./.,./.,0,0,inter,0,no
lineage1,89871,297,C/T,99,GAC/GAT,D/D,Rv0081,0,syn,nonessential,no
lineage1,98966,487,G/C,163,GCA/CCA,A/P,Rv0090,0,nonsyn,nonessential,no
lineage1,115499,5499,T/G,1833,CGT/CGG,R/R,Rv0101,nrp,syn,essential,no
lineage1,132646,1265,G/T,422,GGT/GTT,G/V,Rv0109,PE_PGRS1,nonsyn,ND,no
lineage1,137233,945,C/T,315,GCC/GCT,A/A,Rv0112,gca,syn,essential,yes
lineage1,139954,0,A/C,0,./.,./.,0,0,inter,0,no
lineage1,144564,516,C/T,172,ATC/ATT,I/I,Rv0119,fadD7,syn,nonessential,no
lineage1,146788,984,G/A,328,GTC/GTT,V/V,Rv0120c,fusA2,syn,nonessential,no
lineage1,146872,900,C/T,300,CAG/CAA,Q/Q,Rv0120c,fusA2,syn,nonessential,no
lineage1,160976,108,C/G,36,AAC/AAG,N/K,Rv0133,0,nonsyn,nonessential,no
