Chrom	Start	End	Strand	H37rv_GeneID	Symbol	Feature	ExcludedGroup_Category	PEandPPE_Subfamily	Product	Functional_Category	Is_Pseudogene	IntergenicRegion_IsNextTo_PLC_Gene	Intergenic_GeneToTheLeft	Intergenic_GeneToTheLeft_FuncCategory	Intergenic_GeneToTheRight	Intergenic_GeneToTheRight_FuncCategory	Mean_EBR_36CI	gene_PercentPerfect_EBR_36CI	gene_ProportionWith_NANs_EBR_36CI	gene_GC_Content	Mean_PileupMapScore_K50_E4	Mean_PileupMapScore_K100_E4	Mean_PileupMapScore_K125_E4	Length
NC_000962.3	1524	2051		IntergenicRegion_1_Rv0001-Rv0002		Intergenic	Intergenic			Intergenic		False	Rv0001	NotExcluded	Rv0002	NotExcluded	0.999314779675311	97.53320683111954	0.0	56.92599620493359	1.0	1.0	1.0	527
NC_000962.3	3260	3279		IntergenicRegion_2_Rv0002-Rv0003		Intergenic	Intergenic			Intergenic		False	Rv0002	NotExcluded	Rv0003	NotExcluded	1.0	100.0	0.0	73.6842105263158	1.0	1.0	1.0	19
NC_000962.3	4997	5239		IntergenicRegion_3_Rv0004-Rv0005		Intergenic	Intergenic			Intergenic		False	Rv0004	NotExcluded	Rv0005	NotExcluded	1.0	100.0	0.0	64.0495867768595	1.0	1.0	1.0	242
NC_000962.3	7267	7301		IntergenicRegion_4_Rv0005-Rv0006		Intergenic	Intergenic			Intergenic		False	Rv0005	NotExcluded	Rv0006	NotExcluded	1.0	100.0	0.0	52.94117647058823	1.0	1.0	1.0	34
NC_000962.3	9818	9913		IntergenicRegion_5_Rv0006-Rv0007		Intergenic	Intergenic			Intergenic		False	Rv0006	NotExcluded	Rv0007	NotExcluded	1.0	100.0	0.0	65.26315789473684	1.0	1.0	1.0	95
NC_000962.3	10828	10886		IntergenicRegion_6_Rv0007-MTB000001		Intergenic	Intergenic			Intergenic		False	Rv0007	NotExcluded	MTB000001	NotExcluded	1.0	100.0	0.0	62.06896551724138	1.0	1.0	1.0	58
NC_000962.3	10960	11111		IntergenicRegion_7_MTB000001-MTB000002		Intergenic	Intergenic			Intergenic		False	MTB000001	NotExcluded	MTB000002	NotExcluded	1.0	100.0	0.0	64.23841059602648	1.0	1.0	1.0	151
NC_000962.3	11184	11873		IntergenicRegion_8_MTB000002-Rv0008c		Intergenic	Intergenic			Intergenic		False	MTB000002	NotExcluded	Rv0008c	NotExcluded	1.0	100.0	0.0	61.24818577648767	1.0	1.0	1.0	689
NC_000962.3	12311	12467		IntergenicRegion_9_Rv0008c-Rv0009		Intergenic	Intergenic			Intergenic		False	Rv0008c	NotExcluded	Rv0009	NotExcluded	1.0	100.0	0.0	67.94871794871794	1.0	1.0	1.0	156
NC_000962.3	13016	13132		IntergenicRegion_10_Rv0009-Rv0010c		Intergenic	Intergenic			Intergenic		False	Rv0009	NotExcluded	Rv0010c	NotExcluded	0.9995210727969348	98.27586206896551	0.0	68.10344827586206	1.0	1.0	1.0	116
NC_000962.3	13558	13713		IntergenicRegion_11_Rv0010c-Rv0011c		Intergenic	Intergenic			Intergenic		False	Rv0010c	NotExcluded	Rv0011c	NotExcluded	1.0	100.0	0.0	48.38709677419355	1.0	1.0	1.0	155
NC_000962.3	13995	14088		IntergenicRegion_12_Rv0011c-Rv0012		Intergenic	Intergenic			Intergenic		False	Rv0011c	NotExcluded	Rv0012	NotExcluded	1.0	100.0	0.0	56.98924731182796	1.0	1.0	1.0	93
NC_000962.3	14877	14913		IntergenicRegion_13_Rv0012-Rv0013		Intergenic	Intergenic			Intergenic		False	Rv0012	NotExcluded	Rv0013	NotExcluded	1.0	100.0	0.0	69.44444444444444	1.0	1.0	1.0	36
NC_000962.3	23181	23269		IntergenicRegion_14_Rv0018c-Rv0019c		Intergenic	Intergenic			Intergenic		False	Rv0018c	NotExcluded	Rv0019c	NotExcluded	1.0	100.0	0.0	75.0	0.8984469402272727	1.0	1.0	88
NC_000962.3	23737	23860		IntergenicRegion_15_Rv0019c-Rv0020c		Intergenic	Intergenic			Intergenic		False	Rv0019c	NotExcluded	Rv0020c	NotExcluded	1.0	100.0	0.0	66.66666666666667	1.0	1.0	1.0	123
NC_000962.3	25444	25643		IntergenicRegion_16_Rv0020c-MTB000003		Intergenic	Intergenic			Intergenic		False	Rv0020c	NotExcluded	MTB000003	NotExcluded	1.0	100.0	0.0	63.31658291457286	1.0	1.0	1.0	199
NC_000962.3	25726	25912		IntergenicRegion_17_MTB000003-Rv0021c		Intergenic	Intergenic			Intergenic		False	MTB000003	NotExcluded	Rv0021c	NotExcluded	1.0	100.0	0.0	69.89247311827957	1.0	1.0	1.0	186
NC_000962.3	26881	27022		IntergenicRegion_18_Rv0021c-Rv0022c		Intergenic	Intergenic			Intergenic		False	Rv0021c	NotExcluded	Rv0022c	NotExcluded	1.0	100.0	0.0	63.12056737588652	1.0	1.0	1.0	141
NC_000962.3	27442	27594		IntergenicRegion_19_Rv0022c-Rv0023		Intergenic	Intergenic			Intergenic		False	Rv0022c	NotExcluded	Rv0023	NotExcluded	1.0	100.0	0.0	55.26315789473684	1.0	1.0	1.0	152
NC_000962.3	29207	29244		IntergenicRegion_20_Rv0024-Rv0025		Intergenic	Intergenic			Intergenic		False	Rv0024	NotExcluded	Rv0025	NotExcluded	1.0	100.0	0.0	56.75675675675676	1.0	1.0	1.0	37
